#ID,,Make,Model,Bodywork,Operator,Chassis ID,Reg Date,Notes,Depot,Svc,Batch,Gearbox model,EDS model,Chair model,Door model,Air Con model,
3248,C,,,,,,,,,,,,,,,,
3249,A,,,,,,,,,,,,,,,,
3250,U,,,,,,,,,,,,,,,,
3251,S,,,,,,,,,,,,,,,,
3252,P,,,,,,,,,,,,,,,,
3253,L,,,,,,,,,,,,,,,,
3254,J,,,,,,,,,,,,,,,,
3255,G,,,,,,,,,,,,,,,,
3256,D,,,,,,,,,,,,,,,,
3257,B,,,,,,,,,,,,,,,,
3258,Z,MAN,18.240 HOCL-NL A69,Soon Chow,Duck & Hippo,,,,,,,,,,,,
3259,X,Mitsubishi,BE641JRMDEB,Mitsubishi,Strides Transportation,,,,AMDEP,Unknown,1,Mitsubishi Fuso Duonic 6-speed OD AMT,,Mitsubishi,Mitsubishi,Mitsubishi,
3260,R,,,,,,,,,,,,,,,,
3261,M,,,,,,,,,,,,,,,,
3262,K,,,,,,,,,,,,,,,,
3263,H,,,,,,,,,,,,,,,,
3264,E,,,,,,,,,,,,,,,,
3265,C,,,,,,,,,,,,,,,,
3266,A,,,,,,,,,,,,,,,,
3267,Y,,,,,,,,,,,,,,,,
3268,U,,,,,,,,,,,,,,,,
3269,S,,,,,,,,,,,,,,,,
3270,L,,,,,,,,,,,,,,,,
3271,J,,,,,,,,,,,,,,,,
3272,G,,,,,,,,,,,,,,,,
3273,D,,,,,,,,,,,,,,,,
3274,B,,,,,,,,,,,,,,,,
3275,Z,,,,,,,,,,,,,,,,
3276,X,,,,,,,,,,,,,,,,
3277,T,,,,,,,,,,,,,,,,
3278,R,,,,,,,,,,,,,,,,
3279,M,,,,,,,,,,,,,,,,
3280,H,,,,,,,,,,,,,,,,
3281,E,,,,,,,,,,,,,,,,
3282,C,,,,,,,,,,,,,,,,
3283,A,,,,,,,,,,,,,,,,
3284,Y,,,,,,,,,,,,,,,,
3285,U,,,,,,,,,,,,,,,,
3286,S,,,,,,,,,,,,,,,,
3287,P,,,,,,,,,,,,,,,,
3288,L,,,,,,,,,,,,,,,,
3289,J,,,,,,,,,,,,,,,,
3290,D,,,,,,,,,,,,,,,,
3291,B,,,,,,,,,,,,,,,,
3292,Z,,,,,,,,,,,,,,,,
3293,X,,,,,,,,,,,,,,,,
3294,T,,,,,,,,,,,,,,,,
3295,R,,,,,,,,,,,,,,,,
3296,M,,,,,,,,,,,,,,,,
3297,K,,,,,,,,,,,,,,,,
3298,H,,,,,,,,,,,,,,,,
3299,E,,,,,,,,,,,,,,,,
3300,J,,,,,,,,,,,,,,,,
3301,G,,,,,,,,,,,,,,,,
3302,D,,,,,,,,,,,,,,,,
3303,B,,,,,,,,,,,,,,,,
3304,Z,,,,,,,,,,,,,,,,
3305,X,,,,,,,,,,,,,,,,
3306,T,,,,,,,,,,,,,,,,
3307,R,,,,,,,,,,,,,,,,
3308,M,,,,,,,,,,,,,,,,
3309,K,,,,,,,,,,,,,,,,
3310,E,,,,,,,,,,,,,,,,
3311,C,,,,,,,,,,,,,,,,
3312,A,,,,,,,,,,,,,,,,
3313,Y,,,,,,,,,,,,,,,,
3314,U,,,,,,,,,,,,,,,,
3315,S,,,,,,,,,,,,,,,,
3316,P,,,,,,,,,,,,,,,,
3317,L,,,,,,,,,,,,,,,,
3318,J,,,,,,,,,,,,,,,,
3319,G,,,,,,,,,,,,,,,,
3320,B,,,,,,,,,,,,,,,,
3321,Z,,,,,,,,,,,,,,,,
3322,X,,,,,,,,,,,,,,,,
3323,T,,,,,,,,,,,,,,,,
3324,R,,,,,,,,,,,,,,,,
3325,M,,,,,,,,,,,,,,,,
3326,K,,,,,,,,,,,,,,,,
3327,H,,,,,,,,,,,,,,,,
3328,E,,,,,,,,,,,,,,,,
3329,C,,,,,,,,,,,,,,,,
3330,Y,,,,,,,,,,,,,,,,
3331,U,,,,,,,,,,,,,,,,
3332,S,,,,,,,,,,,,,,,,
3333,P,,,,,,,,,,,,,,,,
3334,L,,,,,,,,,,,,,,,,
3335,J,,,,,,,,,,,,,,,,
3336,G,,,,,,,,,,,,,,,,
3337,D,Isuzu,LT134P,SC Chivalrous,,,,,,,,,,,,,
3338,B,,,,,,,,,,,,,,,,
3339,Z,,,,,,,,,,,,,,,,
3340,T,,,,,,,,,,,,,,,,
3341,R,,,,,,,,,,,,,,,,
3342,M,,,,,,,,,,,,,,,,
3343,K,,,,,,,,,,,,,,,,
3344,H,,,,,,,,,,,,,,,,
3345,E,,,,,,,,,,,,,,,,
3346,C,,,,,,,,,,,,,,,,
3347,A,,,,,,,,,,,,,,,,
3348,Y,,,,,,,,,,,,,,,,
3349,U,,,,,,,,,,,,,,,,
3350,P,,,,,,,,,,,,,,,,
3351,L,,,,,,,,,,,,,,,,
3352,J,,,,,,,,,,,,,,,,
3353,G,,,,,,,,,,,,,,,,
3354,D,,,,,,,,,,,,,,,,
3355,B,,,,,,,,,,,,,,,,
3356,Z,,,,,,,,,,,,,,,,
3357,X,,,,,,,,,,,,,,,,
3358,T,,,,,,,,,,,,,,,,
3359,R,,,,,,,,,,,,,,,,
3360,K,,,,,,,,,,,,,,,,
3361,H,,,,,,,,,,,,,,,,
3362,E,,,,,,,,,,,,,,,,
3363,C,,,,,,,,,,,,,,,,
3364,A,,,,,,,,,,,,,,,,
3365,Y,,,,,,,,,,,,,,,,
3366,U,,,,,,,,,,,,,,,,
3367,S,,,,,,,,,,,,,,,,
3368,P,,,,,,,,,,,,,,,,
3369,L,,,,,,,,,,,,,,,,
3370,G,,,,,,,,,,,,,,,,
3371,D,,,,,,,,,,,,,,,,
3372,B,,,,,,,,,,,,,,,,
3373,Z,,,,,,,,,,,,,,,,
3374,X,,,,,,,,,,,,,,,,
3375,T,,,,,,,,,,,,,,,,
3376,R,,,,,,,,,,,,,,,,
3377,M,,,,,,,,,,,,,,,,
3378,K,,,,,,,,,,,,,,,,
3379,H,,,,,,,,,,,,,,,,
3380,C,,,,,,,,,,,,,,,,
3381,A,,,,,,,,,,,,,,,,
3382,Y,,,,,,,,,,,,,,,,
3383,U,,,,,,,,,,,,,,,,
3384,S,,,,,,,,,,,,,,,,
3385,P,,,,,,,,,,,,,,,,
3386,L,,,,,,,,,,,,,,,,
3387,J,,,,,,,,,,,,,,,,
3388,G,,,,,,,,,,,,,,,,
3389,D,,,,,,,,,,,,,,,,
3390,Z,,,,,,,,,,,,,,,,
3391,X,,,,,,,,,,,,,,,,
3392,T,,,,,,,,,,,,,,,,
3393,R,,,,,,,,,,,,,,,,
3394,M,,,,,,,,,,,,,,,,
3395,K,,,,,,,,,,,,,,,,
3396,H,,,,,,,,,,,,,,,,
3397,E,,,,,,,,,,,,,,,,
3398,C,,,,,,,,,,,,,,,,
3399,A,,,,,,,,,,,,,,,,
3400,D,,,,,,,,,,,,,,,,
3401,B,,,,,,,,,,,,,,,,
3402,Z,,,,,,,,,,,,,,,,
3403,X,,,,,,,,,,,,,,,,
3404,T,,,,,,,,,,,,,,,,
3405,R,,,,,,,,,,,,,,,,
3406,M,,,,,,,,,,,,,,,,
3407,K,,,,,,,,,,,,,,,,
3408,H,,,,,,,,,,,,,,,,
3409,E,,,,,,,,,,,,,,,,
3410,A,,,,,,,,,,,,,,,,
3411,Y,,,,,,,,,,,,,,,,
3412,U,,,,,,,,,,,,,,,,
3413,S,,,,,,,,,,,,,,,,
3414,P,,,,,,,,,,,,,,,,
3415,L,,,,,,,,,,,,,,,,
3416,J,,,,,,,,,,,,,,,,
3417,G,,,,,,,,,,,,,,,,
3418,D,,,,,,,,,,,,,,,,
3419,B,,,,,,,,,,,,,,,,
3420,X,,,,,,,,,,,,,,,,
3421,T,,,,,,,,,,,,,,,,
3422,R,,,,,,,,,,,,,,,,
3423,M,,,,,,,,,,,,,,,,
3424,K,,,,,,,,,,,,,,,,
3425,H,,,,,,,,,,,,,,,,
3426,E,,,,,,,,,,,,,,,,
3427,C,Mitsubishi,BE641JRMDEB,Mitsubishi,Strides Transportation,,,,AMDEP,Unknown,1,Mitsubishi Fuso Duonic 6-speed OD AMT,,Mitsubishi,Mitsubishi,Mitsubishi,
3428,A,,,,,,,,,,,,,,,,
3429,Y,,,,,,,,,,,,,,,,
3430,S,,,,,,,,,,,,,,,,
3431,P,,,,,,,,,,,,,,,,
3432,L,,,,,,,,,,,,,,,,
3433,J,,,,,,,,,,,,,,,,
3434,G,,,,,,,,,,,,,,,,
3435,D,,,,,,,,,,,,,,,,
3436,B,,,,,,,,,,,,,,,,
3437,Z,,,,,,,,,,,,,,,,
3438,X,,,,,,,,,,,,,,,,
3439,T,,,,,,,,,,,,,,,,
3440,M,,,,,,,,,,,,,,,,
3441,K,,,,,,,,,,,,,,,,
3442,H,,,,,,,,,,,,,,,,
3443,E,,,,,,,,,,,,,,,,
3444,C,,,,,,,,,,,,,,,,
3445,A,,,,,,,,,,,,,,,,
3446,Y,,,,,,,,,,,,,,,,
3447,U,,,,,,,,,,,,,,,,
3448,S,,,,,,,,,,,,,,,,
3449,P,,,,,,,,,,,,,,,,
3450,J,,,,,,,,,,,,,,,,
3451,G,,,,,,,,,,,,,,,,
3452,D,,,,,,,,,,,,,,,,
3453,B,,,,,,,,,,,,,,,,
3454,Z,,,,,,,,,,,,,,,,
3455,X,,,,,,,,,,,,,,,,
3456,T,,,,,,,,,,,,,,,,
3457,R,,,,,,,,,,,,,,,,
3458,M,,,,,,,,,,,,,,,,
3459,K,,,,,,,,,,,,,,,,
3460,E,,,,,,,,,,,,,,,,
3461,C,,,,,,,,,,,,,,,,
3462,A,,,,,,,,,,,,,,,,
3463,Y,,,,,,,,,,,,,,,,
3464,U,,,,,,,,,,,,,,,,
3465,S,,,,,,,,,,,,,,,,
3466,P,,,,,,,,,,,,,,,,
3467,L,,,,,,,,,,,,,,,,
3468,J,,,,,,,,,,,,,,,,
3469,G,Mitsubishi,BE641JRMDEB,Mitsubishi,Strides Transportation,,,,AMDEP,Unknown,1,Mitsubishi Fuso Duonic 6-speed OD AMT,,Mitsubishi,Mitsubishi,Mitsubishi,
3470,B,,,,,,,,,,,,,,,,
3471,Z,,,,,,,,,,,,,,,,
3472,X,,,,,,,,,,,,,,,,
3473,T,,,,,,,,,,,,,,,,
3474,R,,,,,,,,,,,,,,,,
3475,M,,,,,,,,,,,,,,,,
3476,K,,,,,,,,,,,,,,,,
3477,H,,,,,,,,,,,,,,,,
3478,E,,,,,,,,,,,,,,,,
3479,C,,,,,,,,,,,,,,,,
3480,Y,,,,,,,,,,,,,,,,
3481,U,,,,,,,,,,,,,,,,
3482,S,,,,,,,,,,,,,,,,
3483,P,,,,,,,,,,,,,,,,
3484,L,,,,,,,,,,,,,,,,
3485,J,,,,,,,,,,,,,,,,
3486,G,,,,,,,,,,,,,,,,
3487,D,,,,,,,,,,,,,,,,
3488,B,,,,,,,,,,,,,,,,
3489,Z,,,,,,,,,,,,,,,,
3490,T,,,,,,,,,,,,,,,,
3491,R,,,,,,,,,,,,,,,,
3492,M,,,,,,,,,,,,,,,,
3493,K,,,,,,,,,,,,,,,,
3494,H,,,,,,,,,,,,,,,,
3495,E,,,,,,,,,,,,,,,,
3496,C,,,,,,,,,,,,,,,,
3497,A,,,,,,,,,,,,,,,,
3498,Y,,,,,,,,,,,,,,,,
3499,U,,,,,,,,,,,,,,,,
3500,Z,,,,,,,,,,,,,,,,
3501,X,,,,,,,,,,,,,,,,
3502,T,,,,,,,,,,,,,,,,
3503,R,,,,,,,,,,,,,,,,
3504,M,,,,,,,,,,,,,,,,
3505,K,,,,,,,,,,,,,,,,
3506,H,,,,,,,,,,,,,,,,
3507,E,,,,,,,,,,,,,,,,
3508,C,,,,,,,,,,,,,,,,
3509,A,,,,,,,,,,,,,,,,
3510,U,,,,,,,,,,,,,,,,
3511,S,,,,,,,,,,,,,,,,
3512,P,,,,,,,,,,,,,,,,
3513,L,,,,,,,,,,,,,,,,
3514,J,,,,,,,,,,,,,,,,
3515,G,Golden Dragon,XML6957J14B,,AEDGE Holdings,,,,,,,,,,,,
3516,D,,,,,,,,,,,,,,,,
3517,B,,,,,,,,,,,,,,,,
3518,Z,,,,,,,,,,,,,,,,
3519,X,,,,,,,,,,,,,,,,
3520,R,,,,,,,,,,,,,,,,
3521,M,,,,,,,,,,,,,,,,
3522,K,,,,,,,,,,,,,,,,
3523,H,,,,,,,,,,,,,,,,
3524,E,,,,,,,,,,,,,,,,
3525,C,,,,,,,,,,,,,,,,
3526,A,,,,,,,,,,,,,,,,
3527,Y,,,,,,,,,,,,,,,,
3528,U,,,,,,,,,,,,,,,,
3529,S,,,,,,,,,,,,,,,,
3530,L,,,,,,,,,,,,,,,,
3531,J,,,,,,,,,,,,,,,,
3532,G,,,,,,,,,,,,,,,,
3533,D,,,,,,,,,,,,,,,,
3534,B,,,,,,,,,,,,,,,,
3535,Z,,,,,,,,,,,,,,,,
3536,X,,,,,,,,,,,,,,,,
3537,T,,,,,,,,,,,,,,,,
3538,R,,,,,,,,,,,,,,,,
3539,M,,,,,,,,,,,,,,,,
3540,H,,,,,,,,,,,,,,,,
3541,E,,,,,,,,,,,,,,,,
3542,C,,,,,,,,,,,,,,,,
3543,A,,,,,,,,,,,,,,,,
3544,Y,,,,,,,,,,,,,,,,
3545,U,,,,,,,,,,,,,,,,
3546,S,,,,,,,,,,,,,,,,
3547,P,,,,,,,,,,,,,,,,
3548,L,,,,,,,,,,,,,,,,
3549,J,,,,,,,,,,,,,,,,
3550,D,,,,,,,,,,,,,,,,
3551,B,,,,,,,,,,,,,,,,
3552,Z,,,,,,,,,,,,,,,,
3553,X,,,,,,,,,,,,,,,,
3554,T,,,,,,,,,,,,,,,,
3555,R,,,,,,,,,,,,,,,,
3556,M,,,,,,,,,,,,,,,,
3557,K,,,,,,,,,,,,,,,,
3558,H,,,,,,,,,,,,,,,,
3559,E,,,,,,,,,,,,,,,,
3560,A,,,,,,,,,,,,,,,,
3561,Y,,,,,,,,,,,,,,,,
3562,U,,,,,,,,,,,,,,,,
3563,S,,,,,,,,,,,,,,,,
3564,P,,,,,,,,,,,,,,,,
3565,L,,,,,,,,,,,,,,,,
3566,J,,,,,,,,,,,,,,,,
3567,G,,,,,,,,,,,,,,,,
3568,D,,,,,,,,,,,,,,,,
3569,B,,,,,,,,,,,,,,,,
3570,X,,,,,,,,,,,,,,,,
3571,T,,,,,,,,,,,,,,,,
3572,R,,,,,,,,,,,,,,,,
3573,M,,,,,,,,,,,,,,,,
3574,K,,,,,,,,,,,,,,,,
3575,H,,,,,,,,,,,,,,,,
3576,E,,,,,,,,,,,,,,,,
3577,C,,,,,,,,,,,,,,,,
3578,A,,,,,,,,,,,,,,,,
3579,Y,MAN,18.240 HOCL-NL A69,Soon Chow,Duck & Hippo,,,,,,,,,,,,
3580,S,,,,,,,,,,,,,,,,
3581,P,,,,,,,,,,,,,,,,
3582,L,,,,,,,,,,,,,,,,
3583,J,,,,,,,,,,,,,,,,
3584,G,,,,,,,,,,,,,,,,
3585,D,,,,,,,,,,,,,,,,
3586,B,,,,,,,,,,,,,,,,
3587,Z,,,,,,,,,,,,,,,,
3588,X,,,,,,,,,,,,,,,,
3589,T,,,,,,,,,,,,,,,,
3590,M,,,,,,,,,,,,,,,,
3591,K,,,,,,,,,,,,,,,,
3592,H,,,,,,,,,,,,,,,,
3593,E,,,,,,,,,,,,,,,,
3594,C,,,,,,,,,,,,,,,,
3595,A,,,,,,,,,,,,,,,,
3596,Y,,,,,,,,,,,,,,,,
3597,U,,,,,,,,,,,,,,,,
3598,S,,,,,,,,,,,,,,,,
3599,P,,,,,,,,,,,,,,,,
3600,T,,,,,,,,,,,,,,,,
3601,R,,,,,,,,,,,,,,,,
3602,M,,,,,,,,,,,,,,,,
3603,K,,,,,,,,,,,,,,,,
3604,H,,,,,,,,,,,,,,,,
3605,E,,,,,,,,,,,,,,,,
3606,C,,,,,,,,,,,,,,,,
3607,A,,,,,,,,,,,,,,,,
3608,Y,,,,,,,,,,,,,,,,
3609,U,,,,,,,,,,,,,,,,
3610,P,,,,,,,,,,,,,,,,
3611,L,,,,,,,,,,,,,,,,
3612,J,,,,,,,,,,,,,,,,
3613,G,,,,,,,,,,,,,,,,
3614,D,,,,,,,,,,,,,,,,
3615,B,,,,,,,,,,,,,,,,
3616,Z,,,,,,,,,,,,,,,,
3617,X,,,,,,,,,,,,,,,,
3618,T,,,,,,,,,,,,,,,,
3619,R,,,,,,,,,,,,,,,,
3620,K,,,,,,,,,,,,,,,,
3621,H,,,,,,,,,,,,,,,,
3622,E,,,,,,,,,,,,,,,,
3623,C,,,,,,,,,,,,,,,,
3624,A,,,,,,,,,,,,,,,,
3625,Y,,,,,,,,,,,,,,,,
3626,U,,,,,,,,,,,,,,,,
3627,S,,,,,,,,,,,,,,,,
3628,P,,,,,,,,,,,,,,,,
3629,L,,,,,,,,,,,,,,,,
3630,G,,,,,,,,,,,,,,,,
3631,D,,,,,,,,,,,,,,,,
3632,B,,,,,,,,,,,,,,,,
3633,Z,,,,,,,,,,,,,,,,
3634,X,,,,,,,,,,,,,,,,
3635,T,,,,,,,,,,,,,,,,
3636,R,,,,,,,,,,,,,,,,
3637,M,,,,,,,,,,,,,,,,
3638,K,,,,,,,,,,,,,,,,
3639,H,,,,,,,,,,,,,,,,
3640,C,,,,,,,,,,,,,,,,
3641,A,,,,,,,,,,,,,,,,
3642,Y,,,,,,,,,,,,,,,,
3643,U,,,,,,,,,,,,,,,,
3644,S,,,,,,,,,,,,,,,,
3645,P,,,,,,,,,,,,,,,,
3646,L,,,,,,,,,,,,,,,,
3647,J,,,,,,,,,,,,,,,,
3648,G,,,,,,,,,,,,,,,,
3649,D,,,,,,,,,,,,,,,,
3650,Z,,,,,,,,,,,,,,,,
3651,X,,,,,,,,,,,,,,,,
3652,T,,,,,,,,,,,,,,,,
3653,R,,,,,,,,,,,,,,,,
3654,M,,,,,,,,,,,,,,,,
3655,K,,,,,,,,,,,,,,,,
3656,H,,,,,,,,,,,,,,,,
3657,E,,,,,,,,,,,,,,,,
3658,C,,,,,,,,,,,,,,,,
3659,A,,,,,,,,,,,,,,,,
3660,U,,,,,,,,,,,,,,,,
3661,S,,,,,,,,,,,,,,,,
3662,P,,,,,,,,,,,,,,,,
3663,L,Mitsubishi,BE641JRMDEB,Mitsubishi,Strides Transportation,,,,AMDEP,Unknown,1,Mitsubishi Fuso Duonic 6-speed OD AMT,,Mitsubishi,Mitsubishi,Mitsubishi,
3664,J,,,,,,,,,,,,,,,,
3665,G,,,,,,,,,,,,,,,,
3666,D,,,,,,,,,,,,,,,,
3667,B,,,,,,,,,,,,,,,,
3668,Z,,,,,,,,,,,,,,,,
3669,X,,,,,,,,,,,,,,,,
3670,R,,,,,,,,,,,,,,,,
3671,M,,,,,,,,,,,,,,,,
3672,K,,,,,,,,,,,,,,,,
3673,H,,,,,,,,,,,,,,,,
3674,E,,,,,,,,,,,,,,,,
3675,C,,,,,,,,,,,,,,,,
3676,A,,,,,,,,,,,,,,,,
3677,Y,,,,,,,,,,,,,,,,
3678,U,,,,,,,,,,,,,,,,
3679,S,,,,,,,,,,,,,,,,
3680,L,,,,,,,,,,,,,,,,
3681,J,,,,,,,,,,,,,,,,
3682,G,,,,,,,,,,,,,,,,
3683,D,,,,,,,,,,,,,,,,
3684,B,,,,,,,,,,,,,,,,
3685,Z,,,,,,,,,,,,,,,,
3686,X,,,,,,,,,,,,,,,,
3687,T,,,,,,,,,,,,,,,,
3688,R,,,,,,,,,,,,,,,,
3689,M,,,,,,,,,,,,,,,,
3690,H,,,,,,,,,,,,,,,,
3691,E,,,,,,,,,,,,,,,,
3692,C,,,,,,,,,,,,,,,,
3693,A,,,,,,,,,,,,,,,,
3694,Y,,,,,,,,,,,,,,,,
3695,U,,,,,,,,,,,,,,,,
3696,S,,,,,,,,,,,,,,,,
3697,P,,,,,,,,,,,,,,,,
3698,L,,,,,,,,,,,,,,,,
3699,J,,,,,,,,,,,,,,,,
3700,M,,,,,,,,,,,,,,,,
3701,K,,,,,,,,,,,,,,,,
3702,H,,,,,,,,,,,,,,,,
3703,E,,,,,,,,,,,,,,,,
3704,C,,,,,,,,,,,,,,,,
3705,A,Mitsubishi,BE641JRMDEB,Mitsubishi,Strides Transportation,,,,AMDEP,Unknown,1,Mitsubishi Fuso Duonic 6-speed OD AMT,,Mitsubishi,Mitsubishi,Mitsubishi,
3706,Y,,,,,,,,,,,,,,,,
3707,U,,,,,,,,,,,,,,,,
3708,S,Isuzu,LT434P,,Chan Bus Services,,,,,,,,,,,,
3709,P,,,,,,,,,,,,,,,,
3710,J,,,,,,,,,,,,,,,,
3711,G,,,,,,,,,,,,,,,,
3712,D,,,,,,,,,,,,,,,,
3713,B,,,,,,,,,,,,,,,,
3714,Z,,,,,,,,,,,,,,,,
3715,X,,,,,,,,,,,,,,,,
3716,T,,,,,,,,,,,,,,,,
3717,R,,,,,,,,,,,,,,,,
3718,M,,,,,,,,,,,,,,,,
3719,K,,,,,,,,,,,,,,,,
3720,E,,,,,,,,,,,,,,,,
3721,C,,,,,,,,,,,,,,,,
3722,A,,,,,,,,,,,,,,,,
3723,Y,,,,,,,,,,,,,,,,
3724,U,,,,,,,,,,,,,,,,
3725,S,,,,,,,,,,,,,,,,
3726,P,,,,,,,,,,,,,,,,
3727,L,,,,,,,,,,,,,,,,
3728,J,Mitsubishi,BE641JRMDEB,Mitsubishi,Strides Transportation,,,,AMDEP,Unknown,1,Mitsubishi Fuso Duonic 6-speed OD AMT,,Mitsubishi,Mitsubishi,Mitsubishi,
3729,G,,,,,,,,,,,,,,,,
3730,B,,,,,,,,,,,,,,,,
3731,Z,,,,,,,,,,,,,,,,
3732,X,,,,,,,,,,,,,,,,
3733,T,,,,,,,,,,,,,,,,
3734,R,,,,,,,,,,,,,,,,
3735,M,,,,,,,,,,,,,,,,
3736,K,,,,,,,,,,,,,,,,
3737,H,,,,,,,,,,,,,,,,
3738,E,Volvo,B9L,SC Chivalrous,Comfort Delgro,,,,,,,,,,,,
3739,C,,,,,,,,,,,,,,,,
3740,Y,,,,,,,,,,,,,,,,
3741,U,,,,,,,,,,,,,,,,
3742,S,,,,,,,,,,,,,,,,
3743,P,,,,,,,,,,,,,,,,
3744,L,,,,,,,,,,,,,,,,
3745,J,,,,,,,,,,,,,,,,
3746,G,,,,,,,,,,,,,,,,
3747,D,,,,,,,,,,,,,,,,
3748,B,,,,,,,,,,,,,,,,
3749,Z,,,,,,,,,,,,,,,,
3750,T,,,,,,,,,,,,,,,,
3751,R,,,,,,,,,,,,,,,,
3752,M,,,,,,,,,,,,,,,,
3753,K,,,,,,,,,,,,,,,,
3754,H,,,,,,,,,,,,,,,,
3755,E,,,,,,,,,,,,,,,,
3756,C,,,,,,,,,,,,,,,,
3757,A,,,,,,,,,,,,,,,,
3758,Y,,,,,,,,,,,,,,,,
3759,U,,,,,,,,,,,,,,,,
3760,P,,,,,,,,,,,,,,,,
3761,L,,,,,,,,,,,,,,,,
3762,J,,,,,,,,,,,,,,,,
3763,G,Volvo,B9L,SC Chivalrous,Comfort Delgro,,,,,,,,,,,,
3764,D,,,,,,,,,,,,,,,,
3765,B,,,,,,,,,,,,,,,,
3766,Z,,,,,,,,,,,,,,,,
3767,X,,,,,,,,,,,,,,,,
3768,T,,,,,,,,,,,,,,,,
3769,R,Volvo,B9L,SC Chivalrous,Comfort Delgro,,,,,,,,,,,,
3770,K,,,,,,,,,,,,,,,,
3771,H,,,,,,,,,,,,,,,,
3772,E,,,,,,,,,,,,,,,,
3773,C,,,,,,,,,,,,,,,,
3774,A,,,,,,,,,,,,,,,,
3775,Y,,,,,,,,,,,,,,,,
3776,U,,,,,,,,,,,,,,,,
3777,S,,,,,,,,,,,,,,,,
3778,P,,,,,,,,,,,,,,,,
3779,L,,,,,,,,,,,,,,,,
3780,G,,,,,,,,,,,,,,,,
3781,D,,,,,,,,,,,,,,,,
3782,B,,,,,,,,,,,,,,,,
3783,Z,,,,,,,,,,,,,,,,
3784,X,,,,,,,,,,,,,,,,
3785,T,Volvo,B9L,SC Chivalrous,Comfort Delgro,,,,,,,,,,,,
3786,R,,,,,,,,,,,,,,,,
3787,M,Volvo,B9L,SC Chivalrous,Comfort Delgro,,,,,,,,,,,,
3788,K,,,,,,,,,,,,,,,,
3789,H,,,,,,,,,,,,,,,,
3790,C,,,,,,,,,,,,,,,,
3791,A,,,,,,,,,,,,,,,,
3792,Y,,,,,,,,,,,,,,,,
3793,U,,,,,,,,,,,,,,,,
3794,S,,,,,,,,,,,,,,,,
3795,P,,,,,,,,,,,,,,,,
3796,L,,,,,,,,,,,,,,,,
3797,J,,,,,,,,,,,,,,,,
3798,G,,,,,,,,,,,,,,,,
3799,D,,,,,,,,,,,,,,,,
3800,H,,,,,,,,,,,,,,,,
3801,E,,,,,,,,,,,,,,,,
3802,C,,,,,,,,,,,,,,,,
3803,A,,,,,,,,,,,,,,,,
3804,Y,,,,,,,,,,,,,,,,
3805,U,,,,,,,,,,,,,,,,
3806,S,,,,,,,,,,,,,,,,
3807,P,,,,,,,,,,,,,,,,
3808,L,,,,,,,,,,,,,,,,
3809,J,,,,,,,,,,,,,,,,
3810,D,,,,,,,,,,,,,,,,
3811,B,,,,,,,,,,,,,,,,
3812,Z,,,,,,,,,,,,,,,,
3813,X,,,,,,,,,,,,,,,,
3814,T,,,,,,,,,,,,,,,,
3815,R,,,,,,,,,,,,,,,,
3816,M,,,,,,,,,,,,,,,,
3817,K,,,,,,,,,,,,,,,,
3818,H,,,,,,,,,,,,,,,,
3819,E,,,,,,,,,,,,,,,,
3820,A,,,,,,,,,,,,,,,,
3821,Y,,,,,,,,,,,,,,,,
3822,U,,,,,,,,,,,,,,,,
3823,S,,,,,,,,,,,,,,,,
3824,P,,,,,,,,,,,,,,,,
3825,L,,,,,,,,,,,,,,,,
3826,J,,,,,,,,,,,,,,,,
3827,G,,,,,,,,,,,,,,,,
3828,D,,,,,,,,,,,,,,,,
3829,B,,,,,,,,,,,,,,,,
3830,X,,,,,,,,,,,,,,,,
3831,T,,,,,,,,,,,,,,,,
3832,R,,,,,,,,,,,,,,,,
3833,M,,,,,,,,,,,,,,,,
3834,K,,,,,,,,,,,,,,,,
3835,H,,,,,,,,,,,,,,,,
3836,E,,,,,,,,,,,,,,,,
3837,C,,,,,,,,,,,,,,,,
3838,A,,,,,,,,,,,,,,,,
3839,Y,,,,,,,,,,,,,,,,
3840,S,,,,,,,,,,,,,,,,
3841,P,,,,,,,,,,,,,,,,
3842,L,,,,,,,,,,,,,,,,
3843,J,,,,,,,,,,,,,,,,
3844,G,,,,,,,,,,,,,,,,
3845,D,,,,,,,,,,,,,,,,
3846,B,,,,,,,,,,,,,,,,
3847,Z,Sunlong,SLK6121UF14H,Gemilang Coachworks,Travel GSH Pte Ltd,LJMBJCDH3AAS00548,17Jul2010,Ex SBS8001X,,,,,,,,,
3848,X,,,,,,,,,,,,,,,,
3849,T,Volvo,B9L,SC Chivalrous,Comfort Delgro,,,,,,,,,,,,
3850,M,,,,,,,,,,,,,,,,
3851,K,,,,,,,,,,,,,,,,
3852,H,,,,,,,,,,,,,,,,
3853,E,Volvo,B9L,SC Chivalrous,Comfort Delgro,,,,,,,,,,,,
3854,C,,,,,,,,,,,,,,,,
3855,A,,,,,,,,,,,,,,,,
3856,Y,,,,,,,,,,,,,,,,
3857,U,,,,,,,,,,,,,,,,
3858,S,,,,,,,,,,,,,,,,
3859,P,,,,,,,,,,,,,,,,
3860,J,,,,,,,,,,,,,,,,
3861,G,,,,,,,,,,,,,,,,
3862,D,,,,,,,,,,,,,,,,
3863,B,,,,,,,,,,,,,,,,
3864,Z,,,,,,,,,,,,,,,,
3865,X,,,,,,,,,,,,,,,,
